Time [s],Channel 0,Channel 1,Channel 2,Channel 3
0.013763000,1,1,1,0
0.013867000,1,0,1,0
0.014179000,1,1,1,0
0.014283000,1,0,1,0
0.014387000,1,1,1,0
0.014491000,1,0,1,0
0.014595000,1,1,1,0
0.025421000,0,1,1,0
0.025526000,1,1,1,0
0.025630000,0,1,1,0
0.025734000,1,1,1,0
0.025838000,0,1,1,0
0.025942000,1,1,1,0
0.026046000,0,1,1,0
0.026151000,1,1,1,0
0.026255000,0,1,1,0
0.026359000,1,1,1,0
0.026463000,0,1,1,0
0.026672000,1,1,1,0
0.026776000,0,1,1,0
0.026880000,1,1,1,0
0.026984000,0,1,1,0
0.027088000,1,1,1,0
0.027192000,0,1,1,0
0.027297000,1,1,1,0
0.027505000,0,1,1,0
0.027609000,1,1,1,0
0.027713000,0,1,1,0
0.028443000,1,1,1,0
0.028547000,0,1,1,0
0.028651000,1,1,1,0
0.028755000,0,1,1,0
0.029485000,1,1,1,0
0.029589000,0,1,1,0
0.029901000,1,1,1,0
0.030005000,0,1,1,0
0.030214000,1,1,1,0
0.030318000,0,1,1,0
0.030526000,1,1,1,0
0.030684000,1,0,1,0
0.030788000,1,1,1,0
0.030892000,1,0,1,0
0.030996000,1,1,1,0
0.031100000,1,0,1,0
0.031204000,1,1,1,0
0.031308000,1,0,1,0
0.031412000,1,1,1,0
0.031516000,1,0,1,0
0.031620000,1,1,1,0
0.031724000,1,0,1,0
0.031932000,1,1,1,0
0.032036000,1,0,1,0
0.032140000,1,1,1,0
0.032244000,1,0,1,0
0.032348000,1,1,1,0
0.032452000,1,0,1,0
0.032556000,1,1,1,0
0.032764000,1,0,1,0
0.032869000,1,1,1,0
0.032972000,1,0,1,0
0.033701000,1,1,1,0
0.033805000,1,0,1,0
0.033909000,1,1,1,0
0.034013000,1,0,1,0
0.034117000,1,1,1,0
0.034221000,1,0,1,0
0.034741000,1,1,1,0
0.034845000,1,0,1,0
0.035157000,1,1,1,0
0.035261000,1,0,1,0
0.035469000,1,1,1,0
0.035573000,1,0,1,0
0.035781000,1,1,1,0
0.035885000,1,0,1,0
0.036197000,1,1,1,0
0.036301000,1,0,1,0
0.036405000,1,1,1,0
0.036509000,1,0,1,0
0.036821000,1,1,1,0
0.036925000,1,0,1,0
0.037862000,1,1,1,0
0.037965000,1,0,1,0
0.038902000,1,1,1,0
0.039006000,1,0,1,0
0.039942000,1,1,1,0
0.058864000,0,1,1,0
0.058968000,1,1,1,0
0.059072000,0,1,1,0
0.059177000,1,1,1,0
0.059281000,0,1,1,0
0.059385000,1,1,1,0
0.059489000,0,1,1,0
0.059594000,1,1,1,0
0.059698000,0,1,1,0
0.059802000,1,1,1,0
0.059906000,0,1,1,0
0.060114000,1,1,1,0
0.060218000,0,1,1,0
0.060323000,1,1,1,0
0.060427000,0,1,1,0
0.060531000,1,1,1,0
0.060635000,0,1,1,0
0.060740000,1,1,1,0
0.060948000,0,1,1,0
0.061052000,1,1,1,0
0.061156000,0,1,1,0
0.061886000,1,1,1,0
0.061990000,0,1,1,0
0.062302000,1,1,1,0
0.062406000,0,1,1,0
0.062927000,1,1,1,0
0.063031000,0,1,1,0
0.063136000,1,1,1,0
0.063240000,0,1,1,0
0.063657000,1,1,1,0
0.063761000,0,1,1,0
0.063969000,1,1,1,0
0.064073000,0,1,1,0
0.064178000,1,1,1,0
0.064282000,0,1,1,0
0.065011000,1,1,1,0
0.065115000,0,1,1,0
0.066053000,1,1,1,0
0.066157000,0,1,1,0
0.067095000,1,1,1,0
0.067299000,1,0,1,0
0.067403000,1,1,1,0
0.067507000,1,0,1,0
0.067611000,1,1,1,0
0.067715000,1,0,1,0
0.067819000,1,1,1,0
0.067923000,1,0,1,0
0.068027000,1,1,1,0
0.068131000,1,0,1,0
