Time [s],HBX TX,HBX RX,RA RX,RA TX,DEC RX,DEC TX
0.634310417,1,1,1,1,1,1
0.634518375,1,1,1,1,1,0
0.634518417,1,0,1,1,1,0
0.634830417,1,0,1,1,1,1
0.634830500,1,1,1,1,1,1
0.635038500,1,1,1,1,1,0
0.635038542,1,0,1,1,1,0
0.635142500,1,0,1,1,1,1
0.635142583,1,1,1,1,1,1
0.635350542,1,1,1,1,1,0
0.635350583,1,0,1,1,1,0
0.635454542,1,0,1,1,1,1
0.635454625,1,1,1,1,1,1
0.654168292,0,1,0,1,0,1
0.654272625,1,1,1,1,1,1
0.654376667,0,1,0,1,0,1
0.654480958,1,1,0,1,0,1
0.654481000,1,1,1,1,1,1
0.654585042,0,1,0,1,0,1
0.654689333,1,1,1,1,1,1
0.654793375,1,1,1,1,0,1
0.654793417,0,1,0,1,0,1
0.654897708,1,1,1,1,1,1
0.655001750,0,1,0,1,0,1
0.655106083,1,1,1,1,1,1
0.655210125,0,1,0,1,0,1
0.655418625,1,1,1,1,1,1
0.655522667,0,1,0,1,0,1
0.655627000,1,1,1,1,1,1
0.655731042,0,1,0,1,0,1
0.655835375,1,1,1,1,1,1
0.655939417,0,1,0,1,0,1
0.656043708,1,1,0,1,0,1
0.656043750,1,1,1,1,1,1
0.656251958,0,1,0,1,0,1
0.656356292,1,1,1,1,1,1
0.656460333,0,1,0,1,0,1
0.657189750,1,1,1,1,1,1
0.657293792,0,1,0,1,0,1
0.657606500,1,1,1,1,1,1
0.657710542,0,1,0,1,0,1
0.658231583,1,1,1,1,1,1
0.658335625,0,1,0,1,0,1
0.658439958,1,1,1,1,1,1
0.658544000,0,1,0,1,0,1
0.659273417,1,1,1,1,1,1
0.659377458,0,1,0,1,0,1
0.659481792,1,1,1,1,1,1
0.659585833,0,1,0,1,0,1
0.660315250,1,1,1,1,1,1
0.660419292,0,1,0,1,0,1
0.661357083,1,1,1,1,1,1
0.661461125,0,1,0,1,0,1
0.661878000,1,1,1,1,1,1
0.661982042,0,1,1,1,0,1
0.661982083,0,1,0,1,0,1
0.662086375,1,1,1,1,1,1
0.662190417,0,1,0,1,0,1
0.662398917,1,1,1,1,1,1
0.662502958,0,1,1,1,0,1
0.662503000,0,1,0,1,0,1
0.662520375,0,1,0,0,0,1
0.662520417,0,0,0,0,0,1
0.662607292,1,0,0,0,1,1
0.662607333,1,0,1,0,1,1
0.662624375,1,0,1,1,1,1
0.662624417,1,1,1,1,1,1
0.662711333,0,1,0,1,0,1
0.662728417,0,1,0,0,0,1
0.662728458,0,0,0,0,0,1
0.662815667,1,0,0,0,0,1
0.662815708,1,0,1,0,1,1
0.662832417,1,0,1,1,1,1
0.662832500,1,1,1,1,1,1
0.662919708,0,1,0,1,0,1
0.662936458,0,1,0,0,0,1
0.662936500,0,0,0,0,0,1
0.663024042,1,0,1,0,1,1
0.663040458,1,0,1,1,1,1
0.663040542,1,1,1,1,1,1
0.663128083,0,1,0,1,0,1
0.663144500,0,1,0,0,0,1
0.663144542,0,0,0,0,0,1
0.663232417,1,0,1,0,1,1
0.663248500,1,0,1,1,1,1
0.663248583,1,1,1,1,1,1
0.663336458,0,1,0,1,0,1
0.663352542,0,1,0,0,0,1
0.663352583,0,0,0,0,0,1
0.663440792,1,0,1,0,1,1
0.663456542,1,0,1,1,1,1
0.663456625,1,1,1,1,1,1
0.663544792,1,1,1,1,0,1
0.663544833,0,1,0,1,0,1
0.663560583,0,1,0,0,0,1
0.663560625,0,0,0,0,0,1
0.663753333,1,0,1,0,1,1
0.663768625,1,0,1,1,1,1
0.663768708,1,1,1,1,1,1
0.663857375,0,1,0,1,0,1
0.663872667,0,1,0,0,0,1
0.663872708,0,0,0,0,0,1
0.663961708,1,0,1,0,1,1
0.663976667,1,0,1,1,1,1
0.663976750,1,1,1,1,1,1
0.664065708,1,1,1,1,0,1
0.664065750,0,1,0,1,0,1
0.664080708,0,1,0,0,0,1
0.664080750,0,0,0,0,0,1
0.664170083,1,0,1,0,1,1
0.664184708,1,0,1,1,1,1
0.664184750,1,1,1,1,1,1
0.664274083,0,1,0,1,0,1
0.664288750,0,1,0,0,0,1
0.664288792,0,0,0,0,0,1
0.664378417,1,0,0,0,1,1
0.664378458,1,0,1,0,1,1
0.664392750,1,0,1,1,1,1
0.664392833,1,1,1,1,1,1
0.664586625,1,1,1,1,0,1
0.664586667,0,1,0,1,0,1
0.664600792,0,1,0,0,0,1
0.664600875,0,0,0,0,0,1
0.664691000,1,0,1,0,1,1
0.664704792,1,0,1,1,1,1
0.664704875,1,1,1,1,1,1
0.664795000,0,1,0,1,0,1
0.664808833,0,1,0,0,0,1
0.664808917,0,0,0,0,0,1
0.665524458,1,0,1,0,1,1
0.665537000,1,0,1,1,1,1
0.665537042,1,1,1,1,1,1
0.665628458,1,1,1,1,0,1
0.665628500,0,1,0,1,0,1
0.665641042,0,1,0,0,0,1
0.665641083,0,0,0,0,0,1
0.665745042,0,0,0,1,0,1
0.665745125,0,1,0,1,0,1
0.665849083,0,1,0,0,0,1
0.665849125,0,0,0,0,0,1
0.665941167,1,0,0,0,0,1
0.665941208,1,0,1,0,1,1
0.665953083,1,0,1,1,1,1
0.665953125,1,1,1,1,1,1
0.666045208,0,1,0,1,0,1
0.666057125,0,1,0,0,0,1
0.666057167,0,0,0,0,0,1
0.666566292,1,0,1,0,1,1
0.666577208,1,0,1,1,1,1
0.666577250,1,1,1,1,1,1
0.666670333,0,1,0,1,0,1
0.666681250,0,1,0,0,0,1
0.666681292,0,0,0,0,0,1
0.666774667,1,0,1,0,1,1
0.666878667,1,0,1,0,0,1
0.666878708,0,0,0,0,0,1
0.666993292,0,0,0,1,0,1
0.666993417,0,1,0,1,0,1
0.667097333,0,1,0,0,0,1
0.667097375,0,0,0,0,0,1
0.667295583,1,0,1,0,1,1
0.667399583,1,0,1,0,0,1
0.667399625,0,0,0,0,0,1
0.667608125,1,0,1,0,1,1
0.667617417,1,0,1,1,1,1
0.667617458,1,1,1,1,1,1
0.667712167,0,1,0,1,0,1
0.667721458,0,1,0,0,0,1
0.667721500,0,0,0,0,0,1
0.668033500,0,0,0,1,0,1
0.668033625,0,1,0,1,0,1
0.668137542,0,1,0,0,0,1
0.668137583,0,0,0,0,0,1
0.668241542,0,0,0,1,0,1
0.668241667,0,1,0,1,0,1
0.668345583,0,1,0,0,0,1
0.668345625,0,0,0,0,0,1
0.668649958,1,0,1,0,1,1
0.668657625,1,0,1,1,1,1
0.668657708,1,1,1,1,1,1
0.668754000,0,1,0,1,0,1
0.668761667,0,1,0,0,0,1
0.668761750,0,0,0,0,0,1
0.668865667,0,0,0,1,0,1
0.668865792,0,1,0,1,0,1
0.668969708,0,1,0,0,0,1
0.668969792,0,0,0,0,0,1
0.669073708,0,0,0,1,0,1
0.669073833,0,1,0,1,0,1
0.669691750,1,1,0,1,0,1
0.669691792,1,1,1,1,1,1
0.669795833,0,1,0,1,0,1
0.669801875,0,1,0,0,0,1
0.669801958,0,0,0,0,0,1
0.670009917,0,0,0,1,0,1
0.670010042,0,1,0,1,0,1
0.670212667,1,1,0,1,0,1
0.670212708,1,1,1,1,1,1
0.670316750,0,1,0,1,0,1
0.670322000,0,1,0,0,0,1
0.670322042,0,0,0,0,0,1
0.670421083,1,0,1,0,1,1
0.670426000,1,0,1,1,1,1
0.670426083,1,1,1,1,1,1
0.670525083,1,1,1,1,0,1
0.670525125,0,1,0,1,0,1
0.670634083,0,1,0,0,0,1
0.670634125,0,0,0,0,0,1
0.670733625,1,0,1,0,1,1
0.670738083,1,0,1,1,1,1
0.670738167,1,1,1,1,1,1
0.670842125,1,1,1,0,1,1
0.670842167,1,0,1,0,1,1
0.670925458,1,0,1,0,1,0
0.671029500,1,0,1,0,1,1
0.671133500,1,0,1,0,1,0
0.671237542,1,0,1,0,1,1
0.671341542,1,0,1,0,1,0
0.671445583,1,0,1,0,1,1
0.671549583,1,0,1,0,1,0
0.671570250,1,0,1,1,1,0
0.671653625,1,0,1,1,1,1
0.671653708,1,1,1,1,1,1
0.671674292,1,1,1,0,1,1
0.671674333,1,0,1,0,1,1
0.671757625,1,0,1,0,1,0
0.671778292,1,0,1,1,1,0
0.671861667,1,0,1,1,1,1
0.671861750,1,1,1,1,1,1
0.671965667,1,1,1,1,1,0
0.671965708,1,0,1,1,1,0
0.672173708,1,0,1,1,1,1
0.672173792,1,1,1,1,1,1
0.672277750,1,1,1,1,1,0
0.672277792,1,0,1,1,1,0
0.672381750,1,0,1,1,1,1
0.672381833,1,1,1,1,1,1
0.672485792,1,1,1,1,1,0
0.672485833,1,0,1,1,1,0
0.672589792,1,0,1,1,1,1
0.672589875,1,1,1,1,1,1
0.672693833,1,1,1,1,1,0
0.672693875,1,0,1,1,1,0
0.672797833,1,0,1,1,1,1
