Time [s],HBX TX,HBX RX,RA RX,RA TX,DEC RX,DEC TX
0.034093917,1,1,1,1,1,0
0.034093958,1,0,1,1,1,0
0.034405958,1,0,1,1,1,1
0.034406083,1,1,1,1,1,1
0.034510000,1,1,1,1,1,0
0.034510042,1,0,1,1,1,0
0.034718042,1,0,1,1,1,1
0.034718125,1,1,1,1,1,1
0.034822083,1,1,1,1,1,0
0.034822125,1,0,1,1,1,0
0.035030083,1,0,1,1,1,1
0.035030167,1,1,1,1,1,1
0.035134125,1,1,1,1,1,0
0.035134167,1,0,1,1,1,0
0.035446167,1,0,1,1,1,1
0.035446250,1,1,1,1,1,1
0.035550208,1,1,1,1,1,0
0.035550250,1,0,1,1,1,0
0.035654208,1,0,1,1,1,1
0.035654292,1,1,1,1,1,1
0.035758250,1,1,1,1,1,0
0.035758292,1,0,1,1,1,0
0.036070292,1,0,1,1,1,1
0.036070375,1,1,1,1,1,1
0.036174333,1,1,1,1,1,0
0.036174375,1,0,1,1,1,0
0.036278333,1,0,1,1,1,1
0.036278417,1,1,1,1,1,1
0.037214542,1,1,1,1,1,0
0.037214583,1,0,1,1,1,0
0.037526583,1,0,1,1,1,1
0.037526667,1,1,1,1,1,1
0.038254750,1,1,1,1,1,0
0.038254792,1,0,1,1,1,0
0.038566792,1,0,1,1,1,1
0.038566875,1,1,1,1,1,1
0.038982875,1,1,1,1,1,0
0.038982917,1,0,1,1,1,0
0.039190917,1,0,1,1,1,1
0.039191000,1,1,1,1,1,1
0.058187083,0,1,0,1,0,1
0.058291417,1,1,1,1,1,1
0.058395458,0,1,0,1,0,1
0.058499750,1,1,1,1,1,1
0.058603833,0,1,0,1,0,1
0.058708125,1,1,1,1,1,1
0.058812167,0,1,1,1,0,1
0.058812208,0,1,0,1,0,1
0.058916500,1,1,1,1,1,1
0.059020542,0,1,0,1,0,1
0.059124875,1,1,1,1,1,1
0.059228917,0,1,0,1,0,1
0.059437417,1,1,1,1,1,1
0.059541458,0,1,0,1,0,1
0.059645792,1,1,1,1,1,1
0.059749833,0,1,0,1,0,1
0.059854167,1,1,1,1,1,1
0.059958208,0,1,0,1,0,1
0.060062500,1,1,0,1,1,1
0.060062542,1,1,1,1,1,1
0.060270750,0,1,0,1,0,1
0.060375083,1,1,1,1,1,1
0.060479125,0,1,0,1,0,1
0.061208542,1,1,1,1,1,1
0.061312583,0,1,0,1,0,1
0.061625250,1,1,0,1,0,1
0.061625292,1,1,1,1,1,1
0.061729333,0,1,0,1,0,1
0.062250375,1,1,1,1,1,1
