Time [s],HBX TX,HBX RX,RA RX,RA TX,DEC RX,DEC TX
0.035172958,1,1,1,1,1,1
0.035276917,1,1,1,1,1,0
0.035276958,1,0,1,1,1,0
0.035484917,1,0,1,1,1,1
0.035485000,1,1,1,1,1,1
0.035588958,1,1,1,1,1,0
0.035589000,1,0,1,1,1,0
0.035797000,1,0,1,1,1,1
0.035797083,1,1,1,1,1,1
0.035901042,1,1,1,1,1,0
0.035901083,1,0,1,1,1,0
0.036213083,1,0,1,1,1,1
0.036213167,1,1,1,1,1,1
0.036317083,1,1,1,1,1,0
0.036317125,1,0,1,1,1,0
0.036421125,1,0,1,1,1,1
0.036421208,1,1,1,1,1,1
0.036525125,1,1,1,1,1,0
0.036525167,1,0,1,1,1,0
0.036733167,1,0,1,1,1,1
0.036733250,1,1,1,1,1,1
0.036941208,1,1,1,1,1,0
0.036941250,1,0,1,1,1,0
0.037045208,1,0,1,1,1,1
0.037045333,1,1,1,1,1,1
0.037981417,1,1,1,1,1,0
0.037981458,1,0,1,1,1,0
0.038189458,1,0,1,1,1,1
0.038189542,1,1,1,1,1,1
0.038293500,1,1,1,1,1,0
0.038293542,1,0,1,1,1,0
0.038397500,1,0,1,1,1,1
0.038397583,1,1,1,1,1,1
0.039021625,1,1,1,1,1,0
0.039021667,1,0,1,1,1,0
0.039125625,1,0,1,1,1,1
0.039125708,1,1,1,1,1,1
0.039333708,1,1,1,1,1,0
0.039333750,1,0,1,1,1,0
0.039437708,1,0,1,1,1,1
0.039437792,1,1,1,1,1,1
0.039645750,1,1,1,1,1,0
0.039645792,1,0,1,1,1,0
0.039853792,1,0,1,1,1,1
0.039853875,1,1,1,1,1,1
0.058863667,0,1,0,1,0,1
0.058968000,1,1,1,1,1,1
0.059072042,0,1,0,1,0,1
0.059176333,1,1,1,1,0,1
0.059176375,1,1,1,1,1,1
0.059280417,0,1,0,1,0,1
0.059384708,1,1,1,1,1,1
0.059488750,0,1,1,1,0,1
0.059488792,0,1,0,1,0,1
0.059593083,1,1,1,1,1,1
0.059697125,0,1,0,1,0,1
0.059801458,1,1,1,1,1,1
0.059905500,0,1,0,1,0,1
0.060114000,1,1,1,1,1,1
0.060218042,0,1,0,1,0,1
0.060322375,1,1,1,1,1,1
0.060426417,0,1,0,1,0,1
0.060530750,1,1,1,1,1,1
0.060634792,0,1,0,1,0,1
0.060739083,1,1,0,1,0,1
0.060739125,1,1,1,1,1,1
0.060947333,0,1,0,1,0,1
0.061051667,1,1,1,1,1,1
0.061155708,0,1,0,1,0,1
0.061885125,1,1,1,1,1,1
0.061989167,0,1,0,1,0,1
0.062301833,1,1,1,1,0,1
0.062301875,1,1,1,1,1,1
0.062405917,0,1,0,1,0,1
0.062926958,1,1,1,1,1,1
0.063031000,0,1,0,1,0,1
0.063135333,1,1,1,1,1,1
0.063239375,0,1,0,1,0,1
0.063968792,1,1,1,1,1,1
0.064072833,0,1,0,1,0,1
0.065010625,1,1,1,1,1,1
0.065114667,0,1,0,1,0,1
0.066052458,1,1,1,1,1,1
0.066156500,0,1,0,1,0,1
0.067094292,1,1,1,1,1,1
0.067298833,1,1,1,0,1,1
0.067298875,1,0,1,0,1,1
0.067402833,1,0,1,1,1,1
0.067402917,1,1,1,1,1,1
0.067506875,1,1,1,0,1,1
0.067506917,1,0,1,0,1,1
0.067610875,1,0,1,1,1,1
0.067610958,1,1,1,1,1,1
0.067714917,1,1,1,0,1,1
0.067714958,1,0,1,0,1,1
0.067818917,1,0,1,1,1,1
0.067819000,1,1,1,1,1,1
0.067922958,1,1,1,0,1,1
0.067923000,1,0,1,0,1,1
0.068026958,1,0,1,1,1,1
0.068027042,1,1,1,1,1,1
0.068131000,1,1,1,0,1,1
0.068131042,1,0,1,0,1,1
0.068235000,1,0,1,1,1,1
0.068235083,1,1,1,1,1,1
0.068339042,1,1,1,0,1,1
0.068339083,1,0,1,0,1,1
0.068547042,1,0,1,1,1,1
0.068547125,1,1,1,1,1,1
0.068651083,1,1,1,0,1,1
0.068651125,1,0,1,0,1,1
0.068755125,1,0,1,1,1,1
0.068755167,1,1,1,1,1,1
0.068859125,1,1,1,0,1,1
0.068859167,1,0,1,0,1,1
0.068963167,1,0,1,1,1,1
0.068963208,1,1,1,1,1,1
0.069067167,1,1,1,0,1,1
0.069067250,1,0,1,0,1,1
0.069171208,1,0,1,1,1,1
0.069171250,1,1,1,1,1,1
0.069379250,1,1,1,0,1,1
0.069379292,1,0,1,0,1,1
0.069483250,1,0,1,1,1,1
0.069483333,1,1,1,1,1,1
0.069587292,1,1,1,0,1,1
0.069587333,1,0,1,0,1,1
0.070315417,1,0,1,1,1,1
0.070315500,1,1,1,1,1,1
0.070419458,1,1,1,0,1,1
0.070419500,1,0,1,0,1,1
0.070523458,1,0,1,1,1,1
0.070523542,1,1,1,1,1,1
0.070627500,1,1,1,0,1,1
0.070627542,1,0,1,0,1,1
0.070731500,1,0,1,1,1,1
0.070731583,1,1,1,1,1,1
0.070835542,1,1,1,0,1,1
0.070835583,1,0,1,0,1,1
0.071355667,1,0,1,1,1,1
0.071355708,1,1,1,1,1,1
0.071459667,1,1,1,0,1,1
0.071459750,1,0,1,0,1,1
0.071771750,1,0,1,1,1,1
0.071771792,1,1,1,1,1,1
0.071875792,1,1,1,0,1,1
0.071875833,1,0,1,0,1,1
0.072395875,1,0,1,1,1,1
0.072395917,1,1,1,1,1,1
0.072499917,1,1,1,0,1,1
0.072499958,1,0,1,0,1,1
0.072811958,1,0,1,1,1,1
0.072812042,1,1,1,1,1,1
0.072916000,1,1,1,0,1,1
0.072916042,1,0,1,0,1,1
0.073020000,1,0,1,1,1,1
0.073020083,1,1,1,1,1,1
0.073124042,1,1,1,0,1,1
0.073124083,1,0,1,0,1,1
0.073332083,1,0,1,1,1,1
0.073332125,1,1,1,1,1,1
0.073540125,1,1,1,0,1,1
0.073540167,1,0,1,0,1,1
0.073644125,1,0,1,1,1,1
0.073644208,1,1,1,1,1,1
0.073748167,1,1,1,0,1,1
0.073748208,1,0,1,0,1,1
0.073852167,1,0,1,1,1,1
0.073852250,1,1,1,1,1,1
0.074580333,1,1,1,0,1,1
0.074580375,1,0,1,0,1,1
0.074684333,1,0,1,1,1,1
0.074684417,1,1,1,1,1,1
0.074892417,1,1,1,0,1,1
0.074892458,1,0,1,0,1,1
0.074996417,1,0,1,1,1,1
0.074996500,1,1,1,1,1,1
0.075100458,1,1,1,0,1,1
0.075100500,1,0,1,0,1,1
0.075204458,1,0,1,1,1,1
0.075204542,1,1,1,1,1,1
0.075412500,1,1,1,0,1,1
0.075412542,1,0,1,0,1,1
0.075516500,1,0,1,1,1,1
0.075516583,1,1,1,1,1,1
0.075620542,1,1,1,0,1,1
0.075620583,1,0,1,0,1,1
0.075828583,1,0,1,1,1,1
0.075828625,1,1,1,1,1,1
0.076036625,1,1,1,0,1,1
0.076036708,1,0,1,0,1,1
0.076140667,1,0,1,1,1,1
0.076140708,1,1,1,1,1,1
0.076348708,1,1,1,0,1,1
0.076348750,1,0,1,0,1,1
0.076556750,1,0,1,1,1,1
0.076556792,1,1,1,1,1,1
0.289317542,0,1,0,1,0,1
0.289421875,1,1,1,1,1,1
0.289525917,0,1,0,1,0,1
0.289630208,1,1,1,1,1,1
0.289734292,0,1,0,1,0,1
0.289838583,1,1,1,1,1,1
0.289942625,1,1,1,1,0,1
0.289942667,0,1,0,1,0,1
0.290046958,1,1,1,1,1,1
0.290151000,0,1,0,1,0,1
0.290255333,1,1,1,1,1,1
0.290359375,0,1,0,1,0,1
0.290567875,1,1,1,1,1,1
0.290671917,0,1,0,1,0,1
0.290776250,1,1,1,1,1,1
0.290880292,0,1,0,1,0,1
0.290984625,1,1,1,1,1,1
0.291088667,0,1,0,1,0,1
0.291192958,1,1,0,1,0,1
0.291193000,1,1,1,1,1,1
0.291401208,0,1,0,1,0,1
0.291505542,1,1,1,1,1,1
0.291609583,0,1,0,1,0,1
0.292339000,1,1,1,1,1,1
0.292443042,0,1,0,1,0,1
0.292547375,1,1,1,1,1,1
0.292651417,0,1,0,1,0,1
0.293380833,1,1,1,1,1,1
0.293484875,0,1,0,1,0,1
0.293797583,1,1,1,1,1,1
0.293901625,0,1,0,1,0,1
0.294422667,1,1,1,1,1,1
0.294586375,1,1,1,0,1,1
0.294586417,1,0,1,0,1,1
0.294690375,1,0,1,1,1,1
0.294690458,1,1,1,1,1,1
0.294794417,1,1,1,0,1,1
0.294794458,1,0,1,0,1,1
0.294898417,1,0,1,1,1,1
0.294898500,1,1,1,1,1,1
0.295002458,1,1,1,0,1,1
0.295002500,1,0,1,0,1,1
0.295106458,1,0,1,1,1,1
0.295106542,1,1,1,1,1,1
0.295210500,1,1,1,0,1,1
0.295210542,1,0,1,0,1,1
0.295314500,1,0,1,1,1,1
0.295314583,1,1,1,1,1,1
0.295418542,1,1,1,0,1,1
0.295418583,1,0,1,0,1,1
0.295522542,1,0,1,1,1,1
0.295522625,1,1,1,1,1,1
0.295626583,1,1,1,0,1,1
0.295626625,1,0,1,0,1,1
0.295834625,1,0,1,1,1,1
0.295834667,1,1,1,1,1,1
0.295938667,1,1,1,0,1,1
0.295938708,1,0,1,0,1,1
0.296042667,1,0,1,1,1,1
0.296042750,1,1,1,1,1,1
0.296146708,1,1,1,0,1,1
0.296146750,1,0,1,0,1,1
0.296250708,1,0,1,1,1,1
0.296250792,1,1,1,1,1,1
